Измайловское шоссе, 71А
ул. Вавилова, 1
Сокольническая пл., 9
пл. Киевского Вокзала, 2
Цветной бульвар, 15с1
ул. Сущёвский Вал, 5с1
24-й километр, 1
Варшавское шоссе, 140
Волгоградский пр-т, 125
Славянский бульвар, вл3
Ходынский бульвар, 4
Ленинградское шоссе, 16Ас4
41-й километр, с1
Каширское шоссе, 61к2
деревня Лапшинка, 8
Каширское шоссе, 108к2
7-й километр, вл2
1-й Покровский пр-д, 1
ул. Мира, с51
Международная ул., 12
Солнечногорский район, деревня Чёрная Грязь
