Название видеоролика;Описание;Количество просмотров;Url видеоролика
Гравитационные волны и нейтронные звезды (рассказывает астрофизик Сергей Попов);Конструкция Вселенной, теории, связанные с Общей теорией относительности Эйнштейна, иногда могут быть...;9420;https://www.youtube.com/watch?v=eksOJ-LcC5M
"""АСТРОФИЗИКА""Лекция №10";Эволюция звёзд(продолжение)Солнце. Лектор:Профессор Постнов К.А.;134;https://www.youtube.com/watch?v=gVAYauONJA4
NASA | Астрофизика | Блазарная удача;Редкая удача выпала на долю гамма-астрономов из команды Ферми - они обнаружили гамма-фотоны, пришедшие к...;3581;https://www.youtube.com/watch?v=bh_lMuuOUlg
Наука-102 Астрофизика;Заглянуть за линию горизонта, увидеть ближний космос... Темная материя, черные дыры и кротовые норы, постига...;1222;https://www.youtube.com/watch?v=HYzrlfhpkg0
Астрофизика | Чандра | Холодный фронт в скоплении Персей;Мда... в космосе тоже есть погодные условия, когда холодные фронты сражаются с теплыми за право принести...;397;https://www.youtube.com/watch?v=3phKCZ2s7R0
"Обзор серии книг ""Астрономия и астрофизика"", под ред. Сурдин В.Г.";http://www.astronom.ru/catalog/atlasy_-karty_-knigi.html.;699;https://www.youtube.com/watch?v=pE0zTNcDaP8
Другие Вселенные и реликтовое излучение;Лекцию читает Олег Васильевич Верходанов, ведущий научный сотрудник САО, доктор физ.-мат. наук. Источник...;11703;https://www.youtube.com/watch?v=MyqpozmYvAM
Антон Бирюков - Астрофизика: Как это работает?;"Еще один подарок из Орловского полесья. Приходилось ли вам слышать вопросы: ""Может эти астрономы договарив...";33;https://www.youtube.com/watch?v=T8rani3xSgM
физика ЕГЭ 2018 тренировочная работа 2 разбор задания 24 (астрофизика);"Видеокурс ""Физика с репетитором. Подготовка к ЕГЭ 2018"" Подробная информация ...";1724;https://www.youtube.com/watch?v=VOY5HdmXGV4
"С.Попов ""Астрофизика: что нового открыли в космосе?""";"Лекция из цикла ""Звезды и Галактики"", организованная Лекторием Политехнического музея. В месяц появляется...";24714;https://www.youtube.com/watch?v=CECBQ9W-l2M
Космология, часть 1. Эволюция Вселенной;Тема: Космология, ч.1. Эволюция Вселенной Ведущий: Попов Сергей Борисович Астрофизик, доктор физико-математи...;3458;https://www.youtube.com/watch?v=8P3WuRGTxug
NASA | Астрофизика | Самые далекие блазары;Галактики – блазары являются одними из самых ярких источников во всей Вселенной. Причина такой яркости...;1576;https://www.youtube.com/watch?v=_TzhrNH25TQ
"Верходанов Олег - Лекция ""Космология видимой вселенной""";"9 августа 2017 года / САО РАН Верходанов Олег Васильевич Лекция ""Космология видимой вселенной"" Данная лекция...";13334;https://www.youtube.com/watch?v=2IHbF8ctG_Y
Астрофизика feat. Леня Голубков - Собака;ʕ◉ᴥ◉ʔ #Собакалюбовник (♥‿♥) Новые серии на http://astrofizika.tv Доступно в iTunes: https://goo.gl/pUJx7q VK: https://vk.com/astrofizikaband...;164885;https://www.youtube.com/watch?v=4kPfTfM3ny0
Земля во Вселенной. Очень интересная астрофизика!!;Как именно движется Земля. Почему мы видим смену созвездий. Как астрономически выглядит равноденствие....;226;https://www.youtube.com/watch?v=n_-w99u7vn8
Астрофизика #1;;73;https://www.youtube.com/watch?v=hYAIHRBKa_c
Астрофизика.avi;;930;https://www.youtube.com/watch?v=wCvVzA3Eu6s
"Сергей Попов: ""Астрофизика - двигатель прогресса""";В Петрозаводске с невероятным успехом прошли лекции ученого астрофизика и популяризатора науки, доктора...;1658;https://www.youtube.com/watch?v=jxolghwLobw
Астрофизика - Собака (музыкальный видеоклип от Big Boom Production );Заказывая музыкальный или рекламный ролик в Big Boom Production, вам стоит знать, что каждая наша новая работа всегд...;333;https://www.youtube.com/watch?v=GAc1GlQvlBA
Формирование систем (часть 2);Лекцию читает Сергей Борисович Попов, астрофизик, доктор физико-математических наук, ведущий сотрудник...;3989;https://www.youtube.com/watch?v=g3BAyG-JNyk
"Сергей Попов - Астрофизика (передача ""Ученый свет"")";"Астрофизик Сергей Борисович Попов в радиопередаче ""Ученый свет"". Рассказ об астрофизике.";7365;https://www.youtube.com/watch?v=sT33l7Cb_aU
Астрофизика | Чандра | Тур по Крабовидной Туманности;Что в логотипе Живой Вселенной? - ну конечно же изображение пульсара в центре Крабовидной Туманности в рент...;395;https://www.youtube.com/watch?v=D6qC59BSFaw
Астрофизика - Лето;Подпишись на новые клипы - http://bit.ly/Podpiska @ Google+ http://bit.ly/ElloGoogle @ ВКонтакте http://Vkontakte.ru/ElloTV @ Facebook ...;5036;https://www.youtube.com/watch?v=EyG0IzMrBEQ
Будущее астрономических открытий   Сергей Попов;Астрофизик, популяризатор науки, доктор физико-математических наук, ведущий научный сотрудник Государстве...;26918;https://www.youtube.com/watch?v=gOJc4R5pPTI
Заметки Астрофизика: 19.06.2016.;Лучшие книги об астрономии для детей.;109;https://www.youtube.com/watch?v=-0RpI9TLIKo
НАСА | Астрофизика | Яростные ветра двойного колосса;Тесная двойная пара. Яростные звездные ветра компонентов врезаются друг в друга, производя интенсивные...;2771;https://www.youtube.com/watch?v=8SQ39GiB3KA
Галактики и Вселенная (рассказывает астрофизик Ольга Сильченко);Галактики — гравитационно-связанные системы из звёзд, звёздных скоплений, межзвёздного газа и пыли, тёмной...;10542;https://www.youtube.com/watch?v=e8PkLd_Vq7M
"""АСТРОФИЗИКА""Лекция №9";Звёзды. Лектор:Профессор Постнов К.А.;44;https://www.youtube.com/watch?v=z-qpHPDljPU
"Методика подготовка к ЕГЭ-2018 по физике.  Задание 24 ""Астрофизика""";"Запланировать участие в следующих вебинарах и посмотреть прошедшие можно на сайте издательства ""Легион""...";1019;https://www.youtube.com/watch?v=s51d5jzxQ-k
"Сергей Переслегин, Владимир Никитин. Астрофизика и ""плохие стоки"". Поэзия и недвойственность";"Доклады второго дня на семинаре ""Котлы 2017"": http://sociosoft.ru/news/Kotly_2017 о результатах работы лабораторий. Лаборатори...";1572;https://www.youtube.com/watch?v=GfKwmBtHP54
Поиск иных миров;Лекцию читает астрофизик Сергей Попов. Источник и организатор - Фонд Траектория (http://www.traektoriafdn.ru/);41691;https://www.youtube.com/watch?v=xX2IsZfAhhY
Сергей Переслегин. Планы лабораторий Теорийка и Астрофизика;Размышления руководителей лабораторий Лабораториума семинара Онтологический верстак о планах на ближайш...;979;https://www.youtube.com/watch?v=uO3uZx9sRJM
Вселенная: взгляд современной науки (рассказывает астрофизик Константин Постнов);"Вселенная с точки зрения современной науки. Вселенную как единое целое изучают астрономия и космология;...";14889;https://www.youtube.com/watch?v=8cv92z_sImE
Астрофизика высоких энергий (компактные объекты во вселенной);"Передача ""Собеседники"". Эфир 12.09.2010. Гости передачи Борис Штерн и Сергей Попов. Ведущий Борис Бояршинов. Обра...";919;https://www.youtube.com/watch?v=ba45OVMPblk
Александр Киселёв: «Астрофизика сегодня  Методы и обсерватории»;Лекция будет посвящена физическим процессам, лежащим в основе излучения электромагнитных волн астрофизич...;27;https://www.youtube.com/watch?v=NMPmbpVxMiE
"Бирюков Антон - Лекция ""Астрофизика как наука""";"3 апреля 2017 года / Коуровская астрономическая обсерватория УРФУ Бирюков Антон Владимирович Лекция ""Астрофи...";805;https://www.youtube.com/watch?v=aEC-EBoeKdY
7.09.14 Сергей Попов «Зачем нормальному человеку астрофизика?» анонс лекции;7 сентября лекция Сергея Попова «Зачем нормальному человеку астрофизика?» билеты онлайн на сайте http://www.pryamay...;2106;https://www.youtube.com/watch?v=SLwg9gTs6hk
Прогноз по биткоину от польского астрофизика;Польский астрофизик Мариуш Тарнопольски отыскал ответ в науке о том сколько будет стоить биткоин в 2018 году....;318;https://www.youtube.com/watch?v=lBe3nZjeYQk
"Профессор кафедры теоретической физики и астрофизики БГУ о фильме ""Интерстеллар""";"Александр Горбацевич - профессор кафедры теоретической физики и астрофизики БГУ рассуждает о фильме ""Интер...";6381;https://www.youtube.com/watch?v=UNhx90DWwIA
NASA | Астрофизика | Новый тренд эволюции галактик;Астрофизики Годдарда открыли новый, удивительный тренд эволюции галактик во Вселенной - вполне возможно,...;2606;https://www.youtube.com/watch?v=FYWx71O20c8
Астрофизика черных дыр | Юрий Левин;Астрофизика черных дыр | Лектор: Юрий Левин | Организатор: Фонд Траектория Смотрите это видео на Лекториуме:...;1999;https://www.youtube.com/watch?v=Ob0rJIsFvDM
"""АСТРОФИЗИКА""Лекция №1";Краткая история современной астрофизики. Пространственные масштабы во Вселенной (Солнечная система-звёзд...;562;https://www.youtube.com/watch?v=0fo8Ww1oSdc
Сергей Попов - Горизонты чёрных дыр;Как образуются чёрные дыры? Какие современные технологии позволяют по-новому взглянуть на эти космические...;38135;https://www.youtube.com/watch?v=BNg7mKAoXdM
Наука и общество. Доклад «ИСКОННАЯ ФИЗИКА АЛЛАТРА». Астрономия и астрофизика. Добрые новости 35;Как говорил Сергей Павлович Королёв, учёный, конструктор и основоположник практической космонавтики: «Нет...;2526;https://www.youtube.com/watch?v=sK-M4xPWB5g
Астрономические итоги 2017 года;Чем запомнился 2017 год в астрономии и что ждать от года грядущего, - рассказывает Сергей Борисович Попов,...;47399;https://www.youtube.com/watch?v=9oR3Y02wLy0
NASA | Астрофизика | Сверхновые и космические лучи;Как сверхновые создают космические лучи? Долго стоявший вопрос, кажется, наконец-то разрешен! Энрико Ферми...;5656;https://www.youtube.com/watch?v=IUJbSjCW53Y
Астрофизика   это мой выбор!;;118;https://www.youtube.com/watch?v=lX9iPmBmTkg
NASA | Астрофизика | Солнечные вспышки;Стабильное тепло и свет нашего Солнца дает жизнь всему на Земле. Но приборы, которые работают над нашей...;1272;https://www.youtube.com/watch?v=e1Mldi-7C1Q
Яркие небесные явления;Лекцию читает Сергей Анатольевич Тюльбашев, доктор физико-математических наук, главный научный сотрудник...;2171;https://www.youtube.com/watch?v=a5dT6MJm7q4
NASA | Астрофизика | Холодные нептуны;Астрономы уже нашли тысячи планет у далеких солнц, и открытия все продолжаются. Их методы позволяют открыв...;1025;https://www.youtube.com/watch?v=BPIS4ozulBo
Суждения астрофизика о Плоской Земле;Суждения астрофизика о Плоской Земле.;2160;https://www.youtube.com/watch?v=nJCOLKFLn1E
Космология простыми словами;Лекцию про современную космологическую модель читает Олег Васильевич Верходанов, доктор физико-математич...;18733;https://www.youtube.com/watch?v=srfT0pmcAYA
NASA | Астрофизика | Что такое Ферми?;Как работает Космический Телескоп Ферми?;1013;https://www.youtube.com/watch?v=U5N1IEWafnQ
Радиоастрономия. Рассказывает астрофизик Анатолий Владимирович Засов. 2014 год.;Слайды (изображения) лекции http://www.sai.msu.ru/amateur/nabl2014/lectures/zasov_radio.pdf Вы можете помочь каналу финансово и оставит...;100;https://www.youtube.com/watch?v=4KisUgAiwCw
"NASA | Астрофизика | Ферми еле избежал столкновения со старым ""Космосом""";Вокруг Земли крутится масса разного космического мусора искусственного происхождения. И вот, друзья, дожил...;2017;https://www.youtube.com/watch?v=qhW0oPQjuIA
NASA | Астрофизика | Превращая черные дыры в лаборатории черной материи;Черные дыры и темная материя... Как можно изучать одним другое? А вот послушайте... Оригинал: https://youtu.be/n_HlPxZUkIo.;2253;https://www.youtube.com/watch?v=tf41sJWc2h8
NASA | Астрофизика | Сближение;Тизер события, которое должно произойти довольно скоро в нашей Вселенной - сближение пульсара с одной из...;2421;https://www.youtube.com/watch?v=0tpQnEaGneY
Нейтронные звёзды. Познавательная лекция астрофизика Сергея Борисовича Попова. 2013 год.;Чудеса и рекорды в мире нейтронных звёзд. Вы можете помочь каналу финансово и оставить сообщение с добрыми...;253;https://www.youtube.com/watch?v=cgr6xoa7GIQ
Астрофизика. Космологическая модель мира;"Передача ""Собеседники"". Эфир 01.12.2012. Борис Бояршинов. Первый образовательный канал. © Телекомпания СГУ ТВ....";1398;https://www.youtube.com/watch?v=1UldzXdFuO0
ЕГЭ - 2018. Физика. Астрономия;Открытый урок.Физика. Астрономическая задача. ЕГЭ-2018. ВК (наша группа): https://vk.com/grandexam Сайт: https://grandexam.ru/ Подпи...;19183;https://www.youtube.com/watch?v=nRkCEWLN0GQ
NASA | Астрофизика | Что такое гамма-лучи?;И в самом деле, что это такое - гамма-лучи? Что за информацию несут они нам?;9666;https://www.youtube.com/watch?v=zqtMzBk_bHU
Сергей Попов;Лекция прочитана в научно-популярном лектории центра Архэ ( 11 июня 2016 года. Лектор — Попов Серг. Рыбалка...;19195;https://www.youtube.com/watch?v=OwS2Pp7vIqg
NASA | Астрофизика | Фомальгаут b - планета-зомби;ЦУП Годдард вот так пугал своих подписчиков на Хеллоуин в этом году. Умершая и воскресшая планета отправил...;5504;https://www.youtube.com/watch?v=U2ccp2MSE14
астрофизика;;27;https://www.youtube.com/watch?v=SAdbhtrOAOI
Нил Деграсс Тайсон: Жизнь, Вселенная и 42;Нил Деграсс Тайсон: Жизнь, Вселенная и 42 Поддержите наш новый сбор! Будущее Искусственного Интеллекта: Кто...;286315;https://www.youtube.com/watch?v=Yyh_c5PU5sc
Что такое большой взрыв? Рассказывает астрофизик Анатолий Владимирович Засов. 2014 год.;Вселенная. Возникновение Вселенной. Расширение Вселенной. http://www.sai.msu.ru/amateur/nabl2014/lectures/zasov_BigBang2014.pdf Вы можете...;35997;https://www.youtube.com/watch?v=hNBMxcjvnc0
Астрофизика;;16047;https://www.youtube.com/watch?v=TrKdXyF8rdk
NASA | Астрофизика | Сердцебиение черной дыры средней массы;Используя архивные данные старого рентгеновского спутника NASA RXTE, исследователи открыли черную дыру редког...;6006;https://www.youtube.com/watch?v=uXatEbif5DY
NASA | Астрофизика | Туманность Макнейла;Недалеко от цветастой туманности M78, там, где формируются звезды, о своем присутствии заявила молодая звезд...;2571;https://www.youtube.com/watch?v=_6J9IeauL6s
Астрономия и астрофизика. Доклад «ИСКОННАЯ ФИЗИКА АЛЛАТРА». Добрые новости 36;Личный вклад каждого человека в общее дело духовно-нравственного преображения общества очень важен. Можн...;1945;https://www.youtube.com/watch?v=iSBdTYXkGfM
NASA | Астрофизика | Ферми открыл первый гамма-пульсар в другой галактике;Рассказ об открытии самого яркого гамма-пульсара в туманности Тарантул, что в Большом Магеллановом Облаке...;2241;https://www.youtube.com/watch?v=juJBxTaocOU
Астрофизика в новостях;Сюжет о лаборатории экспериментальной астрофизики. Январь 2005 года, после гигантской вспышки мягкого гамма-...;62;https://www.youtube.com/watch?v=IigSHZaV_V8
NASA | Астрофизика | Ферми нашел пульсар-трансформер;На расстоянии примерно 4400 световых лет, в созвездии Секстана, находится удивительная двойная система –...;4803;https://www.youtube.com/watch?v=AbTZtzDB_jk
NASA | Астрофизика | Блазары;Самые яркие источники гамма-лучей на нашем небе - в исследованиях гамма-обсерватории Ферми. И все же - что...;10328;https://www.youtube.com/watch?v=2IUmVizb_GM
