Название видеоролика;Описание;Количество просмотров;Url видеоролика
Современная астрофизика (часть 1);Лекцию читает Антон Владимирович Бирюков, научный сотрудник лаборатории космических проектов ГАИШ МГУ....;37337;https://www.youtube.com/watch?v=opOO82xtwGE
О Существовании Ничто. Дискуссия ученых: теоретическая физика, астрофизика;Расширение кругозора. Любопытство, интерес, познание. А если более точно - это только слова и физические...;26930;https://www.youtube.com/watch?v=q9xRB43zIXM
Попов С. Б. - Астрофизика - Черные дыры  (Лекция 9);1. Черные дыры. 1.1. Рентгеновский барстер. Двойные системы. 1.2. Наблюдения Черных дыр. 1.3. Черные дыры в центрах...;122445;https://www.youtube.com/watch?v=j2My_ieOsXs
Астрофизика чёрных дыр;Лекцию читает Юрий Левин, специалист по теоретической астрофизике и экспериментальному исследованию грав...;29610;https://www.youtube.com/watch?v=B1mIIHF4XBQ
Картина мира с точки зрения астрофизика;Лекция Сергея Попова Картина мира с точки зрения астрофизика. Часть 1. 10 фактов об астрономии. Часть 2. 10...;27099;https://www.youtube.com/watch?v=XPVIDRSiwrI
Попов С. Б. - Астрофизика - Нейтронные звезды  (Лекция 8);1. Нейтронные звезды.;46526;https://www.youtube.com/watch?v=ov76tpatbVY
САМЫЕ ВАЖНЫЕ ИДЕИ О КОСМОСЕ | КОВЧЕГ ИДЕЙ;Что, если собрать в одном месте самые важные научные знания и представления? Что, если свести все, что с таки...;164596;https://www.youtube.com/watch?v=MlIxlwWM3zs
"Постнов Константин - Лекция ""Не-электромагнитная астрофизика""";6 апреля 2018 года / ПРАО АКЦ ФИАН Константин Александрович Постнов, доктор физико-математических наук, профес...;3068;https://www.youtube.com/watch?v=sc6WYkNJI80
Увидеть невидимое;Лекцию читает Олег Васильевич Верходанов, доктор физико-математических наук, ведущий научный сотрудник...;4475;https://www.youtube.com/watch?v=S9SYM-B1Ad8
"""Новая"" физика: от фотона до бозона";Сегодня, 8 февраля – День российской науки, в которой физика занимает особое место. Физические законы о...;111862;https://www.youtube.com/watch?v=Nj393_sPpKY
Вселенная для чайников. Просто о сложном. Все, что нужно знать про бескрайний космос 04.09.2016;Вселенная для чайников. Просто о сложном. Все, что нужно знать про бескрайний космос 04.09.2016 Документальн...;113983;https://www.youtube.com/watch?v=glAMP8TpXII
В мире двойных звёзд. Рассказывает астрофизик Сергей Борисович Попов. 2015 год.;Вы можете помочь каналу финансово и оставить сообщение с добрыми пожеланиями или конструктивной критикой....;9088;https://www.youtube.com/watch?v=Qv0WRyvTu1I
Тайны астрофизики. 10 загадок скрытых в небесах. Рассказывает Сергей Попов. 30.01.2012;На изображении нейтронная звезда.;8758;https://www.youtube.com/watch?v=0_fvEDyi-QE
NASA | Астрофизика | Сталкивающиеся нейтронные звезды;Вооруженные суперкомпьютерами ученые могут моделировать столкновения нейтронных звезд и потоки энергии,...;13098;https://www.youtube.com/watch?v=0ssYIiM7tUU
Астрофизик Сергей Попов - О границах Вселенной;Ссылка на видео: Итоги астрофизического года подводит Сергей Попов, известный. Обо этом и многом другом....;6987;https://www.youtube.com/watch?v=qZOCHlfZ5R0
Попов С. Б. - Астрофизика - Структура галактик  (Лекция 10);1. Галактики 1.1. Млечный Путь. 1.2. Определение расстояний до Галактик. 2. Квазары. 3. Пузыри Ферми. 4. Единая...;48619;https://www.youtube.com/watch?v=NsmIcSUi87U
Структура Вселенной;Лекцию читает Дмитрий Игоревич Макаров, заведующий лабораторией внегалактической астрофизики и космологи...;12051;https://www.youtube.com/watch?v=XnKMvl443aQ
"НИЛ ДЕГРАСС ТАЙСОН - ""Вы ничего не знаете!"" БУДУЩЕЕ уже наступило? Комментарии астрофизика про НАС!";Источник- https://futurism.com/neil-degrasse-tyson-universe/ Да, да, я знаю. У нас небольшие проблемы со звуком, постараемся в скоро...;11203;https://www.youtube.com/watch?v=X8f_mX6TcrU
Попов С. Б. - Астрофизика -  Гравитационные волны. Нейтрино  (Лекция 2);1. Звездная величина. Задачи про телескопы. 2. Космические лучи. 3. Нейтрино. 4. Гравитационные волны. 4.1. ...;32949;https://www.youtube.com/watch?v=GDHxcxjUGAs
Экспериментальная астрофизика;Лекцию читает Антон Владимирович Бирюков, научный сотрудник лаборатории космических проектов ГАИШ МГУ,...;4289;https://www.youtube.com/watch?v=VBxVyYLd7B8
Попов С. Б. - Астрофизика -  История становления астрономии  (Лекция 1);1. Введение. 10 фактов об астрономии. 2. Возникновение астрономии и часть ее истории. 2.1. Астрометрия. 2.2. Един...;37089;https://www.youtube.com/watch?v=DIKtrSj-QeU
Попов С. Б. - Астрофизика -  Солнце  (Лекция 3);1. Солнце 1.1. Основные параметры Солнца. 1.2. Устойчивость Солнца. 1.3. Внешняя структура Солнца. Пятна на Солнц...;54747;https://www.youtube.com/watch?v=jHbdd0P7Sh0
Парадокс Ферми (рассказывает астрофизик Владимир Липунов);Парадокс Ферми — отсутствие видимых следов деятельности инопланетных цивилизаций, которые должны были...;638171;https://www.youtube.com/watch?v=Y3QHoy4xY24
Астрофизик Сергей Попов оживляет великого астронома де Лапласа;Подкаст: Научно-спиритический сеанс «Не верьте лорду Кельвину». Живые ученые говорят с мертвыми. На этом...;3457;https://www.youtube.com/watch?v=8SlUEcrQz5I
"Верходанов Олег - Астрофизика. Лекция 1: ""Вращение""";6 апреля 2017 года / Коуровская астрономическая обсерватория УРФУ Верходанов Олег Васильевич Астрофизика....;14855;https://www.youtube.com/watch?v=umf-dIqRIdE
Проблема внеземных цивилизаций (рассказывает астрофизик Владимир Липунов);О поиске внеземных цивилизаций, о парадоксе Ферми, о слиянии нейтронных звёзд и регистрации гравитационных...;32854;https://www.youtube.com/watch?v=NfLVWzI8q4M
NASA | Астрофизика | Черная дыра - изгой;Посмотрите на снимок галактики на расстоянии 8 млрд св лет, сделанный Хабблом. Ничего не замечаете? Эта свер...;2425;https://www.youtube.com/watch?v=wzlnbwOe5ZE
Физика и астрофизика нейтронных звезд. Лекция В.Ф. Сулейманова;Лекция Валерия Сулейманова, д. физ.-мат. н., научного сотрудника Института астрономии и астрофизики Универси...;1326;https://www.youtube.com/watch?v=nI_Y6MJywqs
Нил Деграсс Тайсон.  Астрофизика для тех, кому некогда;Оригинал https://www.youtube.com/watch?v=AyAK3QBnMGQ I don't monetize this video. If you are a copyright holder of the original video and you want me to ...;7315;https://www.youtube.com/watch?v=bhwT0cBEeb4
NASA | Астрофизика | Первая трехмерная модель Эты Киля;Эта Киля - монстр из монстров, звезда звезд, катастрофа, которая разворачивается прямо на наших глазах! ...;6056;https://www.youtube.com/watch?v=TIZkPZMIZvY
NASA | Астрофизика | Свет и непрерывность Пространства-Времени;Является ли ткань пространства - времени непрерывной, как утверждает ОТО или же в ней есть прорехи, как гово...;7490;https://www.youtube.com/watch?v=yF-RIEWp5dc
NASA | Астрофизика | Монитор гамма-вспышек Ферми;Монитор гамма-вспышек - один из научных приборов Космического гамма-телескопа Ферми - разработан для обнару...;256;https://www.youtube.com/watch?v=9UuP5KY81Ok
Современная астрофизика (часть 2);Лекцию читает Антон Владимирович Бирюков, научный сотрудник лаборатории космических проектов ГАИШ МГУ....;6773;https://www.youtube.com/watch?v=mTuGlJl7aRw
